frame_number,Timestamp,system_time,video_time_seconds,Latitude,Longitude,gps_altitude,gps_speed_kmh,gps_course_degrees,gps_fix_quality,gps_satellites,gps_hdop,imu_accel_x,imu_accel_y,imu_accel_z,imu_accel_magnitude,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_gyro_magnitude,imu_mag_x,imu_mag_y,imu_mag_z,imu_mag_magnitude,imu_temperature,gps_data_age_seconds,imu_data_age_seconds
46,2025-08-27T16:51:42.376521,51:42.4,8.09,,,,,,0,0,,0.7995,0.7714,9.5014,9.5661,-6.265,-0.087,17.042,18.157,-209.47,-366.08,-429.15,601.71,23.02,N/A,-0.003
47,2025-08-27T16:51:42.476613,51:42.5,8.19,,,,,,0,0,,-1.3873,0.4098,9.6375,9.7455,-11.321,2.901,-0.939,11.725,-371.48,-273.34,-253.39,526.23,24.28,N/A,-0.007
48,2025-08-27T16:51:42.577580,51:42.6,8.291,,,,,,0,0,,-0.3177,0.2439,10.2619,10.2697,-11.827,1.742,5.687,13.238,85.27,-223.22,-231.74,332.87,18.15,N/A,0.012
49,2025-08-27T16:51:42.678317,51:42.7,8.392,,,,,,0,0,,-1.1873,0.5841,10.0037,10.0908,12.566,-1.158,-11.055,16.777,303.13,369.62,-311.36,570.48,24.22,N/A,0.008
50,2025-08-27T16:51:42.779342,51:42.8,8.493,,,,,,0,0,,0.6715,-0.4088,9.9717,10.0026,12.856,-6.619,-15.797,21.416,349.27,-132.07,-329.69,498.13,22.46,N/A,0.005
51,2025-08-27T16:51:42.880250,51:42.9,8.594,,,,,,0,0,,1.536,-0.0908,9.7818,9.9021,4.491,2.51,15.915,16.726,202.77,-187.05,-592.19,653.3,44.27,N/A,0.004
52,2025-08-27T16:51:42.981093,51:43.0,8.694,,,,,,0,0,,0.6107,-0.4104,10.1201,10.1469,-7.612,-6.62,-10.633,14.657,380.41,324.2,-471.05,686.81,44.36,N/A,0.003
53,2025-08-27T16:51:43.081705,51:43.1,8.795,,,,,,0,0,,-0.0741,0.2378,9.6211,9.6243,3.562,4.672,5.037,7.739,-107.7,-116.47,-265.1,308.94,37.63,N/A,0
54,2025-08-27T16:51:43.182118,51:43.2,8.895,,,,,,0,0,,1.8165,0.0687,10.0222,10.1857,4.745,-1.52,1.777,5.29,-326.94,-327.36,-355.35,583.37,18.65,N/A,-0.003
55,2025-08-27T16:51:43.282833,51:43.3,8.996,,,,,,0,0,,0.0093,-0.1874,9.8864,9.8882,-14.529,5.807,12.706,20.156,287.2,283.36,-302.77,504.43,31.75,N/A,-0.006
56,2025-08-27T16:51:43.383809,51:43.4,9.097,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,-0.9466,0.0523,9.6815,9.7278,-14.41,4.224,9.751,17.905,388.8,-278.24,-578.86,750.77,22.51,0.001,0.012
57,2025-08-27T16:51:43.484781,51:43.5,9.198,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,1.8692,0.1473,9.857,10.0338,-10.5,7.46,-5.154,13.873,333.32,-39.94,-496.32,599.19,29.53,0.102,0.01
58,2025-08-27T16:51:43.585366,51:43.6,9.299,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,-0.5913,-0.4125,9.7089,9.7356,2.576,1.543,-5.805,6.536,257.45,199.51,-234.6,401.4,26.47,0.202,0.008
59,2025-08-27T16:51:43.685428,51:43.7,9.399,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,-0.0254,0.5934,9.7612,9.7792,4.117,9.168,-22.982,25.083,-229.68,-64.59,-250.68,346.07,19,0.303,0.005
60,2025-08-27T16:51:43.785884,51:43.8,9.499,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,0.5631,0.5297,9.6942,9.725,1.528,4.793,19.696,20.329,142.93,229.65,-226.29,352.67,23.79,0.403,0.003
61,2025-08-27T16:51:43.886554,51:43.9,9.6,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,0.9351,-0.7266,9.7234,9.7952,4.606,-9.934,18.65,21.627,-42.61,138.05,-289.05,323.15,38.39,0.504,-0.002
62,2025-08-27T16:51:43.987028,51:44.0,9.7,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,-0.8732,0.1341,10.0548,10.0935,8.155,-6.308,-7.282,12.623,115.43,-360.81,-293.28,479.08,19.5,0.604,-0.004
63,2025-08-27T16:51:44.087615,51:44.1,9.801,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,0.3513,0.7571,10.1496,10.1839,-11.35,6.843,4.606,14.031,211.26,382.87,-513.26,674.28,23.99,0.705,-0.006
64,2025-08-27T16:51:44.188096,51:44.2,9.901,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,1.8914,0.6408,10.0208,10.2178,3.785,-8.415,-18.358,20.547,-85.96,-139.33,-376.2,410.28,22.25,0.805,0.012
65,2025-08-27T16:51:44.289023,51:44.3,10.002,26.66264367,92.76951183,71,33.756404,340.4,1,6,1.36,-1.0334,0.4588,9.5049,9.572,0.22,0.66,14.806,14.822,-214.64,253.83,-398.63,519.04,43.16,0.906,0.01
66,2025-08-27T16:51:44.389628,51:44.4,10.103,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.9503,-0.2643,9.7703,9.82,-7.989,-7.843,-15.59,19.194,34.28,-295.87,-576.22,648.65,33.14,0.003,0.009
67,2025-08-27T16:51:44.490609,51:44.5,10.204,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.7817,0.0062,9.6396,9.6712,1.094,-1.528,6.8,7.055,291.25,-24.86,-561.75,633.25,43.61,0.104,0.007
68,2025-08-27T16:51:44.590659,51:44.6,10.304,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.1547,-0.2102,9.5978,9.6693,-3.633,-0.482,-3.348,4.964,362.94,49.77,-406.66,547.33,28.06,0.204,0.003
69,2025-08-27T16:51:44.691530,51:44.7,10.405,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.1692,-0.6364,9.6399,9.7314,-12.187,-6.206,-14.83,20.174,208.37,349.39,-462.23,615.75,33.94,0.305,0.002
70,2025-08-27T16:51:44.792377,51:44.8,10.506,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.0942,0.5667,9.8675,9.8842,-6.761,0.808,13.122,14.784,82.24,318.28,-512.75,609.08,30.41,0.405,0
71,2025-08-27T16:51:44.892804,51:44.9,10.606,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.971,0.0919,9.6372,9.6864,13.04,-2.849,14.574,19.763,117.1,180.52,-502.1,546.26,43.39,0.506,-0.002
72,2025-08-27T16:51:44.992910,51:45.0,10.706,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.6148,0.6764,9.8969,10.0506,-12.744,-1.922,12.122,17.694,178.79,-268.67,-238.61,401.36,25.33,0.606,-0.004
73,2025-08-27T16:51:45.093875,51:45.1,10.807,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.4669,-0.2966,10.0651,10.1757,8.909,7.588,13.411,17.798,-154.29,278.9,-312.72,446.52,32.67,0.707,-0.004
74,2025-08-27T16:51:45.193893,51:45.2,10.907,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.9955,0.3262,9.7289,9.9368,6.105,-8.454,18.071,20.864,344.95,-337.07,-392.42,621.77,19.18,0.807,-0.007
75,2025-08-27T16:51:45.294222,51:45.3,11.008,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.025,0.7786,9.6119,9.6977,13.22,0.109,-2.833,13.521,-309.91,-40.74,-499.34,589.1,26.86,0.907,0.011
76,2025-08-27T16:51:45.394550,51:45.4,11.108,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,2.0335,-0.2819,10.2247,10.4287,9.629,7.294,-6.986,13.954,-361.11,-318.77,-458.53,665.03,34.27,1.008,0.005
77,2025-08-27T16:51:45.494667,51:45.5,11.208,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.0979,0.6928,10.0271,10.1108,2.985,3.651,-23.43,23.899,306.36,164.75,-257.81,432.98,44.84,1.108,0.003
78,2025-08-27T16:51:45.594864,51:45.6,11.308,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.2366,0.0306,9.6148,9.694,1.986,-9.974,2.004,10.365,-130.18,138.18,-488.47,524.07,32.75,1.208,0.001
79,2025-08-27T16:51:45.695385,51:45.7,11.409,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.3765,0.1666,9.7632,9.8612,3.166,-6.149,-3.203,7.622,181.01,-248.41,-343.56,460.99,23.74,1.308,-0.001
80,2025-08-27T16:51:45.795855,51:45.8,11.509,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.4214,-0.6069,9.8572,9.9776,11.748,0.295,-22.996,25.824,352.46,-243.1,-562.19,706.67,36.42,1.409,-0.004
81,2025-08-27T16:51:45.896613,51:45.9,11.61,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.9853,0.384,10.1649,10.2198,-12.378,1.206,-10.953,16.573,77.2,-100.25,-273.75,301.58,33.67,1.51,-0.007
82,2025-08-27T16:51:45.997355,51:46.0,11.711,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.6829,0.4041,10.1176,10.1487,-5.018,-9.605,-19.513,22.32,364.79,259.73,-337.43,560.7,30.95,1.61,0.011
83,2025-08-27T16:51:46.097846,51:46.1,11.811,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.1989,0.356,9.4629,9.4716,-5.001,-3.838,17.07,18.197,-156.32,-321,-520.47,631.17,25.92,1.711,0.009
84,2025-08-27T16:51:46.198011,51:46.2,11.911,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.3994,-0.5958,10.0045,10.0302,11.834,-4.112,8.418,15.094,-21.86,135.26,-484.01,503.02,35.9,1.811,0.006
85,2025-08-27T16:51:46.298135,51:46.3,12.011,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.0881,0.457,9.7852,9.7962,1.571,-3.051,-8.201,8.89,-269.74,117.26,-509.81,588.57,31.36,1.911,0.005
86,2025-08-27T16:51:46.398573,51:46.4,12.112,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.751,-0.639,10.0374,10.0857,-1.575,-0.138,-22.749,22.804,285.54,388.89,-580.01,754.44,18.81,2.012,0.003
87,2025-08-27T16:51:46.499024,51:46.5,12.212,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.8314,0.3843,9.9981,10.04,-12.156,1.1,16.307,20.369,-140,-253.88,-422.74,512.6,40.75,2.112,0
88,2025-08-27T16:51:46.599158,51:46.6,12.312,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.4461,0.6725,9.7225,9.8524,8.111,8.567,-6.434,13.438,-212.6,-265.59,-400.15,525.22,37.58,2.212,-0.002
89,2025-08-27T16:51:46.699691,51:46.7,12.413,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.8075,0.0903,9.7287,9.8956,-11.414,2.237,-7.325,13.745,211.81,-34.9,-248.68,328.52,19.07,2.313,-0.004
90,2025-08-27T16:51:46.800493,51:46.8,12.514,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.3207,0.1212,10.0985,10.1852,-8.486,-2.784,23.968,25.577,72.11,82.52,-514.2,525.74,40.32,2.414,-0.006
91,2025-08-27T16:51:46.900726,51:46.9,12.614,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.8369,-0.0905,9.4666,9.5039,-8.186,1.319,4.941,9.652,-365.91,-362.14,-245.53,570.37,21.03,2.514,0.011
92,2025-08-27T16:51:47.001117,51:47.0,12.714,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.3828,0.4852,9.8426,9.862,-10.534,-6.022,-12.249,17.242,149.03,-242.53,-436.51,521.13,22.16,2.614,0.009
93,2025-08-27T16:51:47.101694,51:47.1,12.815,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.2039,-0.0633,10.2479,10.2501,11.665,3.398,10.978,16.375,366.79,-40.17,-581.75,688.9,29.67,2.715,0.007
94,2025-08-27T16:51:47.202342,51:47.2,12.916,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.6748,0.2192,9.6804,9.8266,-14.919,-1.638,-7.431,16.747,-384.87,347.56,-305.06,601.65,19.92,2.815,0.004
95,2025-08-27T16:51:47.302930,51:47.3,13.016,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.4972,-0.4812,10.041,10.0648,6.437,-2.449,23.002,24.011,-185.89,106.3,-530.78,572.35,24.45,2.916,0.003
96,2025-08-27T16:51:47.403235,51:47.4,13.117,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.4842,-0.6725,9.7098,9.8456,-3.214,1.894,1.29,3.947,-322.66,-25.94,-336.15,466.67,41.91,3.016,0.001
97,2025-08-27T16:51:47.503367,51:47.5,13.217,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.2752,-0.4671,10.2095,10.2239,-7.537,6.868,-9.317,13.812,191.41,-153.93,-411.06,478.85,25.91,3.116,-0.004
98,2025-08-27T16:51:47.603591,51:47.6,13.317,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.893,0.314,9.6219,9.8113,-4.259,-8.505,11.026,14.562,192.98,-61.12,-425.38,471.09,30.42,3.217,0.013
99,2025-08-27T16:51:47.704494,51:47.7,13.418,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.8496,-0.6966,9.8097,10.0068,-2.675,1.232,9.576,10.019,-165.58,262.72,-335.86,457.43,42.68,3.318,-0.009
100,2025-08-27T16:51:47.805315,51:47.8,13.519,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.6359,0.5367,9.7663,9.8017,3.773,-8.025,16.421,18.663,-104.92,313.12,-546.76,638.75,38.5,3.418,0.01
101,2025-08-27T16:51:47.905337,51:47.9,13.619,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.3043,-0.6587,9.9966,10.0228,14.164,-2.455,2.567,14.603,36.11,-233.34,-250.46,344.21,42.04,3.518,0.007
102,2025-08-27T16:51:48.006229,51:48.0,13.72,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.3458,0.2546,9.5492,9.6469,8.897,-6.365,-18.938,21.87,285.62,315.61,-430.41,605.35,44.93,3.619,0.007
103,2025-08-27T16:51:48.106809,51:48.1,13.82,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.1073,-0.4687,10.0366,10.1084,-11.885,-0.982,-17.683,21.329,-75.29,-46.4,-290.41,303.57,30.87,3.72,0.006
104,2025-08-27T16:51:48.207444,51:48.2,13.921,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.1514,-0.7078,9.8893,9.9157,3.228,1.99,-13.437,13.962,145.21,-390.07,-513.31,660.86,19.79,3.82,0.005
105,2025-08-27T16:51:48.308079,51:48.3,14.021,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,0.0347,-0.2121,9.7003,9.7027,12.375,9.695,-0.715,15.736,237.29,-309.78,-281.14,480.95,43.94,3.921,0.003
106,2025-08-27T16:51:48.408897,51:48.4,14.122,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.0374,0.347,9.7169,9.7783,9.97,-0.484,9.188,13.567,-49.04,-166.66,-350.07,390.81,20.97,4.022,0.001
107,2025-08-27T16:51:48.509418,51:48.5,14.223,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.2288,-0.6967,9.9677,10.0673,-10.928,-7.406,0.291,13.204,325.01,77.23,-263.79,425.65,26.36,4.122,-0.002
108,2025-08-27T16:51:48.609634,51:48.6,14.323,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.672,0.7828,9.8198,9.8738,14.986,8.917,-3.095,17.71,-369.99,-168.42,-542.78,678.13,37.9,4.223,-0.004
109,2025-08-27T16:51:48.709883,51:48.7,14.423,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.2012,-0.2219,9.5932,9.6707,-10.052,-8.589,20.711,24.572,-176.85,97.46,-453.6,496.52,42.65,4.323,-0.006
110,2025-08-27T16:51:48.810900,51:48.8,14.524,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.8598,0.1988,10.0686,10.1072,-1.117,-3.871,11.987,12.646,-95.08,380,-260.42,470.38,32.81,4.424,0.013
111,2025-08-27T16:51:48.911781,51:48.9,14.625,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,2.0408,-0.7584,9.7876,10.0268,-2.548,9.71,10.053,14.207,47.04,-92.93,-527.04,537.23,39.5,4.525,0.011
112,2025-08-27T16:51:49.011813,51:49.0,14.725,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-0.2587,-0.0761,9.8285,9.8322,-3.451,-5.56,-16.316,17.579,-318.29,-38.58,-560.43,645.66,42.31,4.625,0.007
113,2025-08-27T16:51:49.112503,51:49.1,14.826,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,1.5157,-0.3957,9.6762,9.8022,4.963,-8.55,-6.152,11.644,-143.79,23.72,-240.58,281.27,24.01,4.726,0.004
114,2025-08-27T16:51:49.213336,51:49.2,14.927,26.662737,92.76946933,71.1,34.967612,339.88,1,6,1.36,-1.0254,0.3031,10.0064,10.0633,0.591,1.284,-0.132,1.419,-67.56,299.33,-479.21,569.04,21.66,4.826,0.003
