frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m,timestamp,system_time,video_time_seconds,latitude,longitude,gps_altitude,gps_speed_kmh,gps_course_degrees,gps_fix_quality,gps_satellites,gps_hdop,imu_accel_x,imu_accel_y,imu_accel_z,imu_accel_magnitude,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_gyro_magnitude,imu_mag_x,imu_mag_y,imu_mag_z,imu_mag_magnitude,imu_temperature,gps_data_age_seconds,imu_data_age_seconds
9,1.0,1.0,16:51:38.800,2025-09-03T00:13:10.179282,,,,,,False,0.0,439.8,truck,0.564,442.8,169.8,145.2,215.6,center,43.9,2025-08-27 16:51:38.657547,51:38.7,4.371,,,,,,0,0,,0.1381,-0.0463,9.8315,9.8326,11.677,-1.86,18.987,22.368,-379.25,-255.6,-248.6,520.54,39.67,,0.004
10,1.0,1.0,16:51:38.900,2025-09-03T00:13:10.884815,,,,,,False,0.0,441.8,truck,0.576,416.3,174.8,147.9,220.1,center,43.0,2025-08-27 16:51:38.758214,51:38.8,4.472,,,,,,0,0,,-0.2466,-0.6266,9.8909,9.9138,-9.427,-0.265,-12.595,15.735,275.06,185.79,-569.97,659.57,23.95,,0.002
10,2.0,2.0,16:51:38.900,2025-09-03T00:13:10.884815,,,,,,False,0.0,441.8,truck,0.532,53.3,206.9,276.9,184.2,left,51.4,2025-08-27 16:51:38.758214,51:38.8,4.472,,,,,,0,0,,-0.2466,-0.6266,9.8909,9.9138,-9.427,-0.265,-12.595,15.735,275.06,185.79,-569.97,659.57,23.95,,0.002
10,3.0,1.0,16:51:38.900,2025-09-03T00:13:10.884815,,,,,,False,0.0,441.8,person,0.586,405.6,172.1,151.5,227.7,center,20.2,2025-08-27 16:51:38.758214,51:38.8,4.472,,,,,,0,0,,-0.2466,-0.6266,9.8909,9.9138,-9.427,-0.265,-12.595,15.735,275.06,185.79,-569.97,659.57,23.95,,0.002
11,4.0,2.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,truck,0.482,6.8,173.5,256.6,218.3,left,43.4,2025-08-27 16:51:38.859243,51:38.9,4.573,,,,,,0,0,,1.6714,-0.2099,10.1303,10.2694,-4.245,-7.092,7.225,10.978,91.23,241.78,-305.26,399.96,33.36,,-0.001
11,3.0,1.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,person,0.511,368.4,167.0,158.9,224.5,center,20.5,2025-08-27 16:51:38.859243,51:38.9,4.573,,,,,,0,0,,1.6714,-0.2099,10.1303,10.2694,-4.245,-7.092,7.225,10.978,91.23,241.78,-305.26,399.96,33.36,,-0.001
11,1.0,1.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,truck,0.567,378.6,167.1,153.9,225.8,center,41.9,2025-08-27 16:51:38.859243,51:38.9,4.573,,,,,,0,0,,1.6714,-0.2099,10.1303,10.2694,-4.245,-7.092,7.225,10.978,91.23,241.78,-305.26,399.96,33.36,,-0.001
11,2.0,2.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,truck,0.517,18.1,83.8,260.2,305.2,left,31.0,2025-08-27 16:51:38.859243,51:38.9,4.573,,,,,,0,0,,1.6714,-0.2099,10.1303,10.2694,-4.245,-7.092,7.225,10.978,91.23,241.78,-305.26,399.96,33.36,,-0.001
12,1.0,1.0,16:51:39.100,2025-09-03T00:13:12.322848,,,,,,False,0.0,436.0,bus,0.522,331.7,162.8,154.8,229.1,left,37.8,2025-08-27 16:51:38.959480,51:39.0,4.673,,,,,,0,0,,0.3675,0.0588,9.5285,9.5357,4.954,2.917,-3.149,6.555,-211.79,-191.15,-398.93,490.45,23.38,,-0.003
12,2.0,1.0,16:51:39.100,2025-09-03T00:13:12.322848,,,,,,False,0.0,436.0,truck,0.462,316.5,161.5,160.5,231.8,left,40.8,2025-08-27 16:51:38.959480,51:39.0,4.673,,,,,,0,0,,0.3675,0.0588,9.5285,9.5357,4.954,2.917,-3.149,6.555,-211.79,-191.15,-398.93,490.45,23.38,,-0.003
13,1.0,1.0,16:51:39.200,2025-09-03T00:13:13.035105,,,,,,False,0.0,436.6,person,0.486,306.4,145.1,160.2,243.8,left,18.9,2025-08-27 16:51:39.059989,51:39.1,4.773,,,,,,0,0,,-0.8703,0.7038,9.8113,9.8749,-7.895,-5.639,-21.348,23.449,238.25,-89.28,-450.65,517.52,38.09,,-0.005
13,2.0,1.0,16:51:39.200,2025-09-03T00:13:13.035105,,,,,,False,0.0,436.6,bus,0.469,303.3,140.8,164.9,244.7,left,35.4,2025-08-27 16:51:39.059989,51:39.1,4.773,,,,,,0,0,,-0.8703,0.7038,9.8113,9.8749,-7.895,-5.639,-21.348,23.449,238.25,-89.28,-450.65,517.52,38.09,,-0.005
13,3.0,1.0,16:51:39.200,2025-09-03T00:13:13.035105,,,,,,False,0.0,436.6,truck,0.491,303.1,140.2,164.3,244.2,left,38.8,2025-08-27 16:51:39.059989,51:39.1,4.773,,,,,,0,0,,-0.8703,0.7038,9.8113,9.8749,-7.895,-5.639,-21.348,23.449,238.25,-89.28,-450.65,517.52,38.09,,-0.005
14,1.0,1.0,16:51:39.300,2025-09-03T00:13:13.752974,,,,,,False,0.0,414.0,bus,0.509,291.1,123.3,165.5,248.3,left,34.9,2025-08-27 16:51:39.160383,51:39.2,4.874,,,,,,0,0,,-0.0077,-0.6075,9.8766,9.8953,-13.13,8.381,-18.027,23.825,105.97,49.74,-369.22,387.34,33.43,,0.013
15,1.0,1.0,16:51:39.400,2025-09-03T00:13:14.446906,,,,,,False,0.0,433.7,bus,0.544,248.3,96.5,163.7,252.3,left,34.3,2025-08-27 16:51:39.260889,51:39.3,4.974,,,,,,0,0,,-0.1853,0.7685,10.0546,10.0857,10.499,-2.582,23.08,25.487,-305.04,-122.98,-428.94,540.52,44.02,,0.01
15,2.0,1.0,16:51:39.400,2025-09-03T00:13:14.446906,,,,,,False,0.0,433.7,person,0.526,235.5,88.4,161.1,253.5,left,18.1,2025-08-27 16:51:39.260889,51:39.3,4.974,,,,,,0,0,,-0.1853,0.7685,10.0546,10.0857,10.499,-2.582,23.08,25.487,-305.04,-122.98,-428.94,540.52,44.02,,0.01
16,,,16:51:39.500,2025-09-03T00:13:15.152276,,,,,,False,0.0,451.7,,,,,,,,,2025-08-27 16:51:39.361329,51:39.4,5.075,,,,,,0,0,,0.0689,-0.0909,9.8184,9.8191,4.852,-3.308,24.745,25.432,394.52,206.44,-230.28,501.29,19.49,,0.008
17,,,16:51:39.600,2025-09-03T00:13:15.879864,,,,,,False,0.0,465.3,,,,,,,,,2025-08-27 16:51:39.462158,51:39.5,5.175,,,,,,0,0,,1.3347,0.6744,10.2783,10.3865,-5.904,3.165,-20.502,21.568,7.26,-74.49,-233.51,245.21,43.63,,0.006
18,,,16:51:39.700,2025-09-03T00:13:16.619459,,,,,,False,0.0,514.2,,,,,,,,,2025-08-27 16:51:39.563174,51:39.6,5.277,,,,,,0,0,,-0.9989,0.6009,10.2051,10.2714,9.895,-6.978,-21.809,24.944,-387.55,204.74,-567.77,717.27,32.0,,0.004
19,,,16:51:39.800,2025-09-03T00:13:17.405983,,,,,,False,0.0,503.6,,,,,,,,,2025-08-27 16:51:39.663807,51:39.7,5.377,,,,,,0,0,,1.8568,0.3345,10.0081,10.1844,-13.534,-10.0,-21.167,27.041,127.19,-199.29,-376.17,444.3,44.69,,0.0
20,,,16:51:39.900,2025-09-03T00:13:18.177266,,,,,,False,0.0,489.5,,,,,,,,,2025-08-27 16:51:39.763958,51:39.8,5.477,,,,,,0,0,,1.0986,0.6136,9.7746,9.8553,5.006,-5.731,21.065,22.397,-98.58,-29.15,-449.86,461.45,21.37,,-0.002
21,2.0,1.0,16:51:40.000,2025-09-03T00:13:18.935332,,,,,,False,0.0,437.8,bus,0.546,28.5,21.1,233.8,393.5,left,22.0,2025-08-27 16:51:39.864417,51:39.9,5.578,,,,,,0,0,,-0.0022,-0.1594,9.9724,9.9737,9.806,7.801,-17.174,21.259,376.75,-52.44,-482.62,614.5,21.96,,-0.004
21,1.0,1.0,16:51:40.000,2025-09-03T00:13:18.935332,,,,,,False,0.0,437.8,truck,0.551,76.3,37.7,217.0,357.4,left,26.5,2025-08-27 16:51:39.864417,51:39.9,5.578,,,,,,0,0,,-0.0022,-0.1594,9.9724,9.9737,9.806,7.801,-17.174,21.259,376.75,-52.44,-482.62,614.5,21.96,,-0.004
22,1.0,1.0,16:51:40.100,2025-09-03T00:13:19.646247,,,,,,False,0.0,454.3,truck,0.523,12.0,14.0,243.0,418.4,left,22.6,2025-08-27 16:51:39.965076,51:40.0,5.678,,,,,,0,0,,-0.495,-0.6591,9.7703,9.805,13.739,-8.368,-23.965,28.863,298.37,125.34,-249.08,408.38,26.55,,0.013
23,1.0,1.0,16:51:40.200,2025-09-03T00:13:20.390109,,,,,,False,0.0,443.9,truck,0.53,4.3,154.0,234.6,281.6,left,33.6,2025-08-27 16:51:40.065536,51:40.1,5.779,,,,,,0,0,,1.9735,0.3251,9.6732,9.8778,2.184,7.684,3.899,8.89,-246.77,14.18,-506.68,563.76,26.95,,0.01
23,2.0,1.0,16:51:40.200,2025-09-03T00:13:20.390109,,,,,,False,0.0,443.9,truck,0.52,2.7,54.6,241.9,384.8,left,24.6,2025-08-27 16:51:40.065536,51:40.1,5.779,,,,,,0,0,,1.9735,0.3251,9.6732,9.8778,2.184,7.684,3.899,8.89,-246.77,14.18,-506.68,563.76,26.95,,0.01
24,1.0,1.0,16:51:40.300,2025-09-03T00:13:21.112789,,,,,,False,0.0,458.8,truck,0.472,2.2,165.5,214.0,279.2,left,33.9,2025-08-27 16:51:40.166515,51:40.2,5.88,,,,,,0,0,,0.8363,0.2924,9.9091,9.9487,-1.71,1.909,23.584,23.723,69.27,-303.48,-407.61,512.88,18.49,,0.009
25,1.0,1.0,16:51:40.400,2025-09-03T00:13:21.840680,,,,,,False,0.0,449.6,truck,0.466,0.7,205.0,165.7,239.9,left,39.5,2025-08-27 16:51:40.266677,51:40.3,5.98,,,,,,0,0,,-0.4609,-0.1449,9.7829,9.7948,-1.387,-7.517,-13.905,15.867,-339.48,158.88,-344.94,509.38,22.84,,0.005
26,1.0,1.0,16:51:40.500,2025-09-03T00:13:22.583164,,,,,,False,0.0,477.5,car,0.418,0.2,219.7,127.4,232.3,left,17.5,2025-08-27 16:51:40.366989,51:40.4,6.08,,,,,,0,0,,0.2995,0.3623,10.1346,10.1455,-14.591,3.098,-24.814,28.952,-128.88,-136.93,-334.83,384.02,37.34,,0.004
27,,,16:51:40.600,2025-09-03T00:13:23.345563,,,,,,False,0.0,452.9,,,,,,,,,2025-08-27 16:51:40.467850,51:40.5,6.181,,,,,,0,0,,-0.4884,0.4497,9.7844,9.8069,-1.14,5.544,-11.061,12.425,298.83,283.39,-560.2,695.29,43.2,,-0.001
28,,,16:51:40.700,2025-09-03T00:13:24.070541,,,,,,False,0.0,474.1,,,,,,,,,2025-08-27 16:51:40.568141,51:40.6,6.281,,,,,,0,0,,-0.1805,0.6897,10.1929,10.2178,-0.707,2.427,6.748,7.206,-369.22,-135.92,-499.84,636.12,31.65,,-0.003
29,,,16:51:40.800,2025-09-03T00:13:24.819567,,,,,,False,0.0,449.3,,,,,,,,,2025-08-27 16:51:40.668254,51:40.7,6.382,,,,,,0,0,,-0.7665,-0.3761,9.8812,9.918,-6.589,-9.45,-19.249,22.433,-215.86,131.85,-592.63,644.35,39.88,,-0.005
30,,,16:51:40.900,2025-09-03T00:13:25.539511,,,,,,False,0.0,467.4,,,,,,,,,2025-08-27 16:51:40.769309,51:40.8,6.483,,,,,,0,0,,-0.7248,0.5389,9.6644,9.7065,7.73,8.325,-10.999,15.812,-153.44,261.97,-341.4,456.87,20.95,,0.013
31,,,16:51:41.000,2025-09-03T00:13:26.312553,,,,,,False,0.0,448.9,,,,,,,,,2025-08-27 16:51:40.869445,51:40.9,6.583,,,,,,0,0,,1.8502,-0.0092,9.7827,9.9561,4.375,9.816,1.696,10.88,370.71,54.87,-559.7,673.58,44.08,,0.01
32,,,16:51:41.100,2025-09-03T00:13:27.030095,,,,,,False,0.0,448.1,,,,,,,,,2025-08-27 16:51:40.970029,51:41.0,6.683,,,,,,0,0,,1.2478,0.2174,9.5636,9.6471,2.412,-7.049,4.595,8.754,-316.63,356.85,-449.48,655.46,39.8,,0.008
33,,,16:51:41.200,2025-09-03T00:13:27.759899,,,,,,False,0.0,439.1,,,,,,,,,2025-08-27 16:51:41.070353,51:41.1,6.784,,,,,,0,0,,1.0916,0.4094,9.8884,9.9569,5.248,-7.453,-19.244,21.294,83.76,-149.92,-584.67,609.37,31.77,,0.005
34,,,16:51:41.300,2025-09-03T00:13:28.475842,,,,,,False,0.0,436.2,,,,,,,,,2025-08-27 16:51:41.171129,51:41.2,6.884,,,,,,0,0,,-0.3391,0.252,9.8885,9.8976,-1.158,-0.367,14.072,14.125,308.82,-102.18,-308.69,448.44,21.64,,0.003
35,,,16:51:41.400,2025-09-03T00:13:29.192836,,,,,,False,0.0,441.2,,,,,,,,,2025-08-27 16:51:41.271266,51:41.3,6.985,,,,,,0,0,,-0.7441,-0.2558,9.8239,9.8553,-10.435,-3.421,-18.94,21.893,165.7,-4.01,-205.73,264.19,20.4,,0.0
36,,,16:51:41.500,2025-09-03T00:13:29.911647,,,,,,False,0.0,442.8,,,,,,,,,2025-08-27 16:51:41.371831,51:41.4,7.085,,,,,,0,0,,0.245,-0.4489,9.8067,9.82,5.617,-9.872,-22.603,25.296,132.02,-230.11,-592.61,649.29,34.67,,-0.002
37,,,16:51:41.600,2025-09-03T00:13:30.627277,,,,,,False,0.0,450.8,,,,,,,,,2025-08-27 16:51:41.472227,51:41.5,7.186,,,,,,0,0,,1.7178,-0.482,9.9796,10.1378,-12.344,-6.931,-5.622,15.232,140.09,337.46,-218.18,425.56,26.84,,-0.003
38,,,16:51:41.700,2025-09-03T00:13:31.352136,,,,,,False,0.0,442.0,,,,,,,,,2025-08-27 16:51:41.572554,51:41.6,7.286,,,,,,0,0,,-0.4404,0.7132,10.0359,10.0708,-11.699,7.098,-13.376,19.135,253.09,-280.14,-467.34,600.79,37.8,,-0.005
39,,,16:51:41.800,2025-09-03T00:13:32.072449,,,,,,False,0.0,441.2,,,,,,,,,2025-08-27 16:51:41.673379,51:41.7,7.387,,,,,,0,0,,-0.0831,-0.2575,9.8021,9.8058,12.386,1.729,-15.793,20.145,-97.49,12.97,-498.71,508.31,36.18,,-0.007
40,,,16:51:41.900,2025-09-03T00:13:32.784044,,,,,,False,0.0,437.1,,,,,,,,,2025-08-27 16:51:41.773502,51:41.8,7.487,,,,,,0,0,,-1.3577,-0.6878,10.1267,10.2404,1.535,-5.008,14.648,15.557,79.58,-266.21,-256.49,378.14,31.11,,0.011
41,,,16:51:42.000,2025-09-03T00:13:33.494016,,,,,,False,0.0,434.5,,,,,,,,,2025-08-27 16:51:41.873529,51:41.9,7.587,,,,,,0,0,,-1.1192,0.8022,9.918,10.0131,-7.21,-3.713,-15.488,17.483,-109.17,354.39,-559.94,671.6,43.88,,0.008
42,,,16:51:42.100,2025-09-03T00:13:34.193892,,,,,,False,0.0,438.3,,,,,,,,,2025-08-27 16:51:41.974137,51:42.0,7.687,,,,,,0,0,,-0.1819,0.0202,9.9498,9.9515,-10.677,-3.315,24.113,26.579,-398.41,257.63,-492.21,683.65,38.0,,0.006
43,,,16:51:42.200,2025-09-03T00:13:34.900194,,,,,,False,0.0,448.2,,,,,,,,,2025-08-27 16:51:42.074684,51:42.1,7.788,,,,,,0,0,,0.7458,0.3668,10.1737,10.2076,9.676,-2.225,14.133,17.272,290.53,378.52,-361.3,598.51,35.39,,0.004
44,,,16:51:42.300,2025-09-03T00:13:35.620175,,,,,,False,0.0,455.9,,,,,,,,,2025-08-27 16:51:42.175448,51:42.2,7.889,,,,,,0,0,,-0.7384,0.8728,10.1396,10.2038,-12.305,-5.067,-13.881,19.23,282.33,-22.81,-513.15,586.13,39.21,,0.003
45,,,16:51:42.400,2025-09-03T00:13:36.353523,,,,,,False,0.0,515.4,,,,,,,,,2025-08-27 16:51:42.276498,51:42.3,7.99,,,,,,0,0,,-1.2702,0.3607,9.8807,9.9685,13.733,-3.252,-5.916,15.303,29.25,134.01,-573.29,589.47,36.84,,0.0
46,,,16:51:42.500,2025-09-03T00:13:37.145319,,,,,,False,0.0,447.4,,,,,,,,,2025-08-27 16:51:42.376521,51:42.4,8.09,,,,,,0,0,,0.7995,0.7714,9.5014,9.5661,-6.265,-0.087,17.042,18.157,-209.47,-366.08,-429.15,601.71,23.02,,-0.003
47,,,16:51:42.600,2025-09-03T00:13:37.865807,,,,,,False,0.0,446.9,,,,,,,,,2025-08-27 16:51:42.476613,51:42.5,8.19,,,,,,0,0,,-1.3873,0.4098,9.6375,9.7455,-11.321,2.901,-0.939,11.725,-371.48,-273.34,-253.39,526.23,24.28,,-0.007
48,,,16:51:42.700,2025-09-03T00:13:38.584954,,,,,,False,0.0,439.3,,,,,,,,,2025-08-27 16:51:42.577580,51:42.6,8.291,,,,,,0,0,,-0.3177,0.2439,10.2619,10.2697,-11.827,1.742,5.687,13.238,85.27,-223.22,-231.74,332.87,18.15,,0.012
49,,,16:51:42.800,2025-09-03T00:13:39.299477,,,,,,False,0.0,436.6,,,,,,,,,2025-08-27 16:51:42.678317,51:42.7,8.392,,,,,,0,0,,-1.1873,0.5841,10.0037,10.0908,12.566,-1.158,-11.055,16.777,303.13,369.62,-311.36,570.48,24.22,,0.008
50,,,16:51:42.900,2025-09-03T00:13:40.006767,,,,,,False,0.0,436.4,,,,,,,,,2025-08-27 16:51:42.779342,51:42.8,8.493,,,,,,0,0,,0.6715,-0.4088,9.9717,10.0026,12.856,-6.619,-15.797,21.416,349.27,-132.07,-329.69,498.13,22.46,,0.005
51,,,16:51:43.000,2025-09-03T00:13:40.714298,,,,,,False,0.0,450.3,,,,,,,,,2025-08-27 16:51:42.880250,51:42.9,8.594,,,,,,0,0,,1.536,-0.0908,9.7818,9.9021,4.491,2.51,15.915,16.726,202.77,-187.05,-592.19,653.3,44.27,,0.004
52,,,16:51:43.100,2025-09-03T00:13:41.432247,,,,,,False,0.0,446.1,,,,,,,,,2025-08-27 16:51:42.981093,51:43.0,8.694,,,,,,0,0,,0.6107,-0.4104,10.1201,10.1469,-7.612,-6.62,-10.633,14.657,380.41,324.2,-471.05,686.81,44.36,,0.003
53,,,16:51:43.200,2025-09-03T00:13:42.152507,,,,,,False,0.0,442.2,,,,,,,,,2025-08-27 16:51:43.081705,51:43.1,8.795,,,,,,0,0,,-0.0741,0.2378,9.6211,9.6243,3.562,4.672,5.037,7.739,-107.7,-116.47,-265.1,308.94,37.63,,0.0
54,,,16:51:43.300,2025-09-03T00:13:42.875401,,,,,,False,0.0,451.9,,,,,,,,,2025-08-27 16:51:43.182118,51:43.2,8.895,,,,,,0,0,,1.8165,0.0687,10.0222,10.1857,4.745,-1.52,1.777,5.29,-326.94,-327.36,-355.35,583.37,18.65,,-0.003
55,,,16:51:43.400,2025-09-03T00:13:43.607702,,,,,,False,0.0,443.8,,,,,,,,,2025-08-27 16:51:43.282833,51:43.3,8.996,,,,,,0,0,,0.0093,-0.1874,9.8864,9.8882,-14.529,5.807,12.706,20.156,287.2,283.36,-302.77,504.43,31.75,,-0.006
56,,,16:51:43.500,2025-09-03T00:13:44.342838,,,,,,False,0.0,447.9,,,,,,,,,2025-08-27 16:51:43.383809,51:43.4,9.097,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,-0.9466,0.0523,9.6815,9.7278,-14.41,4.224,9.751,17.905,388.8,-278.24,-578.86,750.77,22.51,0.001,0.012
57,,,16:51:43.600,2025-09-03T00:13:45.063713,,,,,,False,0.0,438.9,,,,,,,,,2025-08-27 16:51:43.484781,51:43.5,9.198,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,1.8692,0.1473,9.857,10.0338,-10.5,7.46,-5.154,13.873,333.32,-39.94,-496.32,599.19,29.53,0.102,0.01
58,,,16:51:43.700,2025-09-03T00:13:45.791931,,,,,,False,0.0,450.5,,,,,,,,,2025-08-27 16:51:43.585366,51:43.6,9.299,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,-0.5913,-0.4125,9.7089,9.7356,2.576,1.543,-5.805,6.536,257.45,199.51,-234.6,401.4,26.47,0.202,0.008
59,,,16:51:43.800,2025-09-03T00:13:46.522101,,,,,,False,0.0,442.5,,,,,,,,,2025-08-27 16:51:43.685428,51:43.7,9.399,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,-0.0254,0.5934,9.7612,9.7792,4.117,9.168,-22.982,25.083,-229.68,-64.59,-250.68,346.07,19.0,0.303,0.005
60,,,16:51:43.900,2025-09-03T00:13:47.236341,,,,,,False,0.0,442.3,,,,,,,,,2025-08-27 16:51:43.785884,51:43.8,9.499,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,0.5631,0.5297,9.6942,9.725,1.528,4.793,19.696,20.329,142.93,229.65,-226.29,352.67,23.79,0.403,0.003
61,,,16:51:44.000,2025-09-03T00:13:47.957388,,,,,,False,0.0,442.1,,,,,,,,,2025-08-27 16:51:43.886554,51:43.9,9.6,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,0.9351,-0.7266,9.7234,9.7952,4.606,-9.934,18.65,21.627,-42.61,138.05,-289.05,323.15,38.39,0.504,-0.002
62,,,16:51:44.100,2025-09-03T00:13:48.665668,,,,,,False,0.0,457.5,,,,,,,,,2025-08-27 16:51:43.987028,51:44.0,9.7,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,-0.8732,0.1341,10.0548,10.0935,8.155,-6.308,-7.282,12.623,115.43,-360.81,-293.28,479.08,19.5,0.604,-0.004
63,,,16:51:44.200,2025-09-03T00:13:49.399302,,,,,,False,0.0,446.6,,,,,,,,,2025-08-27 16:51:44.087615,51:44.1,9.801,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,0.3513,0.7571,10.1496,10.1839,-11.35,6.843,4.606,14.031,211.26,382.87,-513.26,674.28,23.99,0.705,-0.006
64,,,16:51:44.300,2025-09-03T00:13:50.115248,,,,,,False,0.0,446.8,,,,,,,,,2025-08-27 16:51:44.188096,51:44.2,9.901,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,1.8914,0.6408,10.0208,10.2178,3.785,-8.415,-18.358,20.547,-85.96,-139.33,-376.2,410.28,22.25,0.805,0.012
65,,,16:51:44.400,2025-09-03T00:13:50.831551,,,,,,False,0.0,449.0,,,,,,,,,2025-08-27 16:51:44.289023,51:44.3,10.002,26.66264367,92.76951183,71.0,33.756404,340.4,1,6,1.36,-1.0334,0.4588,9.5049,9.572,0.22,0.66,14.806,14.822,-214.64,253.83,-398.63,519.04,43.16,0.906,0.01
